repro_id,best_compile_us,sol_us,gap_vs_sol,total_bytes_mb
var_mean_var_mean_40a0055bb26e,74.7,24.5,3.05,93.1
amax_sum_93cb2fd0355b,216.7,71.5,3.03,271.9
pointwise_750904e8518d,7.9,2.6,3.02,10.0
var_mean_bbc2387d0095,9.6,3.2,3.02,12.0
var_mean_mean_1e867cdb78f5,77.6,25.9,3.0,98.3
var_mean_3ea42611b4f0,10.0,3.4,2.94,12.8
mean_d5a027fb314b,19.4,6.6,2.92,25.2
sum_sum_sum_9fe928f49216,232.3,79.6,2.92,302.5
sum_sum_sum_a970af617f4c,232.4,79.6,2.92,302.5
pointwise_a4e42370cdb9,102.1,35.3,2.89,134.3
var_mean_e603cd44b9cd,11.6,4.0,2.89,15.3
var_mean_b7d516740b38,9.1,3.2,2.88,12.0
var_mean_mean_4b1dcaa1d7e1,24.7,8.6,2.87,32.8
pointwise_849c8a7e937a,9.1,3.2,2.86,12.0
sum_sum_sum_87fd4ec7f051,468.1,163.9,2.86,623.0
sum_sum_sum_8fe65349c733,665.5,233.2,2.85,886.3
mean_f7170c220032,73.5,25.9,2.84,98.3
pointwise_1c5b4956323d,6.3,2.2,2.84,8.4
sum_sum_sum_c1b0c5dbde1f,167.5,59.2,2.83,224.8
var_mean_b0e2cade591e,39.8,14.1,2.83,53.5
mean_cf12f53df7dd,18.2,6.5,2.82,24.6
var_mean_mean_0593cda589d5,51.0,18.1,2.82,68.8
amax_sum_4bd27b112605,99.2,35.3,2.81,134.2
pointwise_f564ff7f54c2,35.5,12.7,2.8,48.2
sum_sum_aac6620b978d,15.5,5.5,2.8,21.0
var_mean_mean_3a508adb31ac,24.2,8.6,2.8,32.8
var_mean_var_mean_var_mean_850152d806da,98.1,35.3,2.78,134.3
mean_7874ce26c7f3,17.9,6.5,2.77,24.6
pointwise_b556697c6ec2,11.4,4.1,2.75,15.7
pointwise_c8cb51f30736,6.0,2.2,2.75,8.3
sum_sum_sum_335722fb8da6,15.3,5.6,2.73,21.3
var_mean_25898f81ca4d,16.9,6.2,2.72,23.6
pointwise_59d71b256016,10.1,3.7,2.71,14.2
pointwise_f2b2f0c4db0c,13.7,5.1,2.7,19.3
pointwise_388aef7dede1,11.1,4.1,2.69,15.7
pointwise_fd00f02aa65f,6.1,2.3,2.68,8.7
pointwise_c14f03aac63b,11.8,4.4,2.67,16.8
var_mean_7e167c86e389,44.1,16.6,2.66,62.9
var_mean_mean_254b25297850,36.3,13.7,2.66,51.9
var_mean_mean_2ac1c2eb8544,36.4,13.7,2.66,51.9
pointwise_afc4ddb6d0ba,46.8,17.7,2.65,67.2
sum_sum_sum_d138e6df4d0c,180.2,68.0,2.65,258.5
var_mean_170cb6646cc0,47.9,18.2,2.63,69.3
pointwise_c04d168ffc54,11.6,4.4,2.62,16.8
var_mean_a88cd01397d1,36.9,14.1,2.62,53.6
var_mean_b95d34ef7580,16.3,6.2,2.62,23.6
var_mean_c057f7372279,16.3,6.2,2.62,23.6
pointwise_e33f44c6dd73,265.2,101.7,2.61,386.3
sum_sum_d73ef74614dc,455.7,174.8,2.61,664.3
sum_sum_sum_ed6c74b5ef96,533.5,204.2,2.61,775.8
var_mean_fb5b7bc4d7e5,13.0,5.0,2.61,18.9
var_mean_mean_0805988a80e9,45.0,17.3,2.61,65.6
mean_a83e003db20c,20.2,7.8,2.6,29.5
sum_sum_876992e24e09,17.2,6.6,2.6,25.2
var_mean_83eed019e52b,7.2,2.8,2.6,10.5
var_mean_c28c8bc99940,9.9,3.8,2.6,14.5
pointwise_f0dd9248187e,10.9,4.2,2.59,16.1
mean_27e29b31cd8d,22.3,8.6,2.58,32.8
var_mean_6d9f14e83fbb,69.5,26.9,2.58,102.4
mean_var_5f74618c3485,102.0,39.7,2.57,151.0
sum_sum_2847f46e0c5a,178.0,69.3,2.57,263.3
var_mean_3f319cc01bd1,21.2,8.3,2.57,31.5
var_mean_67e607b197fd,16.0,6.2,2.57,23.6
var_mean_mean_358f7ae19b62,22.2,8.6,2.57,32.8
sum_sum_sum_e58ca1d0ccf4,175.2,68.5,2.56,260.1
pointwise_e91604cda8db,6.3,2.5,2.54,9.4
var_mean_sum_mean_c177cfce7234,17.2,6.8,2.54,25.8
sum_sum_sum_92327e661e73,90.0,35.6,2.53,135.3
var_mean_e53e1ab6f33f,9.1,3.6,2.53,13.7
mean_67e840f5877f,14.1,5.6,2.52,21.3
pointwise_bc30b7a4c3fd,25.5,10.2,2.5,38.7
sum_sum_ced249279c9d,391.0,156.5,2.5,594.7
sum_sum_17a11b547fed,230.6,92.7,2.49,352.4
sum_sum_sum_718a025684ba,105.3,42.3,2.49,160.6
sum_sum_sum_22bc9d6a43f1,151.5,61.2,2.48,232.4
var_mean_9b424e0dd1da,20.5,8.3,2.48,31.5
var_mean_21efaf61742a,133.0,53.8,2.47,204.3
mean_feaf8e3a5f0b,32.6,13.2,2.46,50.3
sum_sum_694ed6c91379,16.3,6.6,2.46,25.2
var_mean_5b0c15caa439,44.9,18.2,2.46,69.2
mean_d87780a73e70,32.5,13.2,2.45,50.3
sum_sum_sum_dc96c4651516,530.5,216.8,2.45,823.7
var_mean_5989a301601b,20.3,8.3,2.45,31.5
var_mean_f58b743b2264,12.2,5.0,2.45,18.9
var_mean_mean_ebf25f51023b,31.6,12.9,2.45,49.2
var_mean_mean_6b2793eaa579,31.6,12.9,2.44,49.2
pointwise_886d1802a767,56.4,23.2,2.43,88.1
sum_38c955b52137,8.0,3.3,2.42,12.6
var_mean_2f98fd23fbea,20.4,8.5,2.42,32.1
var_mean_5fa359332f2e,12.0,5.0,2.42,18.9
var_mean_912a9c5978b4,12.0,5.0,2.42,18.9
var_mean_mean_7a446f7d0ed8,61.3,25.4,2.42,96.5
var_mean_2ad1aa26eb79,12.0,5.0,2.41,18.9
var_mean_42b3beb8ea30,12.0,5.0,2.41,18.9
var_mean_640a50e812af,12.0,5.0,2.41,18.9
var_mean_mean_1310120283dc,62.3,25.9,2.41,98.3
sum_sum_sum_6107a2f54029,521.3,216.8,2.4,823.7
var_mean_9af0513b0d3e,11.9,5.0,2.4,18.9
var_mean_e5cd7a30f952,11.9,5.0,2.4,18.9
pointwise_1c92ebb90ca9,7.9,3.3,2.39,12.6
pointwise_5a066f66776e,13.2,5.5,2.39,21.0
pointwise_ffe1ef7f99e0,10.1,4.2,2.39,16.1
var_mean_cf1ffb1a79d8,20.2,8.5,2.39,32.1
var_mean_e4d2655a5279,20.2,8.5,2.39,32.1
